	SubA, %	SubA, %	SubB, %	SubB, %	SubRest, %	SubRest, %
	mean	coeff_var	mean	coeff_var	mean	coeff_var
Sample						
1	11.789852793885773	0.004607895175252026	0.30163939326404904	0.010319270506622676	87.90850781285019	0.0005974205130879402
2	14.800856907721235	0.010405880179426546	1.0212616688574445	0.017798542854292183	84.17788142342133	0.0016259124294618634
3	30.12981255325006	0.058809479646511266	0.47540029410837675	0.04144839270514666	69.39478715264157	0.025401616305944612
5	41.89361829481728	0.011467928759582082	4.24075137788271	0.06592193041224545	53.86563032730001	0.014076038078018058
7	17.300222589256933	0.02474360358506714	0.7182450435443698	0.03937273356591133	81.9815323671987	0.00548418272514476
8	32.56718029501849	0.1818548120333474	13.007820431750728	0.10384167218341833	54.42499927323078	0.1334932805598094
9	7.076250154967904	0.004074007468971634	0.3475996179946837	0.06192041564945399	92.57615022703742	0.00028404669759599305
10	10.88279895300191	0.030440348358548724	1.0987461702462855	0.019707286043185158	88.01845487675182	0.003717540671287175
13	19.991183237274342	0.007295773190595873	0.5395704672031246	0.04704690156657054	79.46924629552255	0.0021083266818565805
14	25.037464727452456	0.0076905573365446565	4.605755674252062	0.04301939556103688	70.35677959829549	0.005412387134325889
